id,fee_type,amount,invoice_id,discarded_at
1,Tuition Fees,790,1,
2,Tuition Fees,750,2,
3,Tuition Fees,700,3,
4,Tuition Fees,800,4,
5,Tuition Fees,790,5,
6,Tuition Fees,550,6,
7,Transport Fees,660,6,
8,Tuition Fees,1400,9,2023-01-03 11:20:15 +0530
9,Tuition Fees,650,10,
10,Tuition Fees,750,11,
11,Tuition Fees,700,12,
12,Tuition Fees,820,13,
13,Tuition Fees,900,14,
14,Tuition Fees,750,16,
15,Transport Fees,600,16,
16,Tuition Fees,850,18,
17,Transport Fees,600,18,
18,Tuition Fees,820,19,
19,Tuition Fees,820,20,
20,Tuition Fees,650,21,
21,Tuition Fees,2600,23,
22,Fine,100,23,
24,Tuition Fees,650,24,
25,Tuition Fees,650,25,
26,Maintenance Fees,580,26,2023-01-05 14:54:59 +0530
27,Tuition Fees,550,27,
28,Tuition Fees,580,28,
29,Tuition Fees,650,29,
30,Tuition Fees,650,31,
31,Tuition Fees,650,32,
32,Tuition Fees,650,33,
33,Tuition Fees,650,34,
34,Tuition Fees,1200,36,
35,Tuition Fees,600,37,
36,Tuition Fees,800,38,
37,Tuition Fees,600,39,
38,Tuition Fees,600,40,
39,Tuition Fees,580,41,
40,Tuition Fees,550,42,
41,Tuition Fees,2100,44,
42,Tuition Fees,2250,45,
43,Fine,100,45,
44,Fine,100,44,
45,Tuition Fees,1100,46,
46,Transport Fees,1700,46,
47,Fine,100,46,2023-01-05 15:52:26 +0530
48,Fine,50,46,
49,Tuition Fees,1500,47,
50,Transport Fees,1700,47,
51,Fine,50,47,
52,Tuition Fees,750,48,
53,Transport Fees,780,48,
54,Tuition Fees,600,49,
55,Tuition Fees,750,50,
56,Tuition Fees,800,51,
57,Tuition Fees,1300,53,
58,Tuition Fees,1300,54,
59,Tuition Fees,700,56,
60,Tuition Fees,600,57,
61,Tuition Fees,750,58,
62,Tuition Fees,750,59,
63,Tuition Fees,600,60,
64,Transport Fees,750,60,
65,Fine,50,60,
66,Tuition Fees,800,61,
67,Transport Fees,600,61,2023-01-07 09:43:15 +0530
68,Transport Fees,660,61,
69,Tuition Fees,650,62,
70,Tuition Fees,650,63,
71,Transport Fees,660,63,
72,Tuition Fees,750,64,
73,Tuition Fees,600,65,
74,Transport Fees,780,65,
75,Tuition Fees,1500,66,
76,Tuition Fees,750,67,
77,Tuition Fees,750,68,
78,Tuition Fees,600,69,
79,Transport Fees,780,69,
80,Tuition Fees,700,70,
81,Tuition Fees,550,71,
82,Tuition Fees,750,72,
83,Fine,50,72,
84,Fine,50,71,
85,Tuition Fees,700,73,
86,Transport Fees,800,73,
87,Tuition Fees,850,74,
88,Transport Fees,800,74,
89,Tuition Fees,1200,75,
90,Transport Fees,1560,75,
91,Fine,50,75,
92,Tuition Fees,700,76,
93,Transport Fees,780,76,
94,Tuition Fees,790,77,
95,Transport Fees,780,77,
96,Tuition Fees,750,78,
97,Transport Fees,750,79,
98,Tuition Fees,800,80,
99,Tuition Fees,880,81,
100,Tuition Fees,550,82,
101,Maintenance Fees,2460,83,
102,Tuition Fees,2700,84,
103,Tuition Fees,750,85,
104,Tuition Fees,750,86,
105,Tuition Fees,900,87,
106,Tuition Fees,1300,88,
107,Transport Fees,1320,88,
108,Fine,50,88,
109,Tuition Fees,700,89,
110,Tuition Fees,850,90,
111,Tuition Fees,750,91,
112,Tuition Fees,750,92,
113,Tuition Fees,750,93,
114,Tuition Fees,750,94,
115,Tuition Fees,800,95,
116,Tuition Fees,500,96,
117,Tuition Fees,600,97,
118,Tuition Fees,850,98,
119,Tuition Fees,800,99,
120,Tuition Fees,700,100,
121,Tuition Fees,850,101,
122,Tuition Fees,850,102,
123,Tuition Fees,1500,103,
124,Fine,50,103,
125,Tuition Fees,800,104,
126,Tuition Fees,750,105,
127,Tuition Fees,790,106,
128,Tuition Fees,850,107,
129,Tuition Fees,650,108,2023-01-09 12:05:51 +0530
130,Tuition Fees,650,109,
131,Tuition Fees,850,108,
132,Tuition Fees,700,110,
133,Tuition Fees,870,111,
134,Tuition Fees,1760,112,
135,Tuition Fees,700,113,
136,Tuition Fees,700,114,
137,Tuition Fees,800,115,
138,Tuition Fees,600,116,
139,Tuition Fees,800,117,
140,Tuition Fees,600,118,
141,Tuition Fees,750,119,
142,Transport Fees,850,119,
143,Tuition Fees,900,120,
144,Tuition Fees,1000,121,
145,Tuition Fees,700,122,
146,Tuition Fees,750,123,
147,Transport Fees,780,123,
148,Tuition Fees,650,124,
149,Transport Fees,780,124,
150,Tuition Fees,700,125,
151,Transport Fees,750,125,
152,Tuition Fees,600,126,
153,Transport Fees,750,126,
154,Tuition Fees,580,127,
155,Tuition Fees,580,128,
156,Tuition Fees,790,129,
157,Tuition Fees,650,130,
158,Tuition Fees,750,131,
159,Transport Fees,780,131,
160,Tuition Fees,790,133,
161,Fine,50,133,
162,Tuition Fees,600,134,
163,Transport Fees,750,134,
164,Tuition Fees,600,135,
165,Tuition Fees,1800,136,
166,Tuition Fees,1300,137,
167,Maintenance Fees,50,137,2023-01-09 16:59:57 +0530
168,Tuition Fees,750,138,
169,Tuition Fees,800,139,
170,Tuition Fees,1300,140,
171,Tuition Fees,700,141,
172,Tuition Fees,750,142,
173,Tuition Fees,550,143,
174,Tuition Fees,600,144,
175,Tuition Fees,600,145,
176,Tuition Fees,700,146,
177,Tuition Fees,790,147,
178,Tuition Fees,600,148,
179,Tuition Fees,650,149,
180,Tuition Fees,700,150,
181,Tuition Fees,880,151,
182,Tuition Fees,750,152,
183,Tuition Fees,600,153,
184,Tuition Fees,800,154,
185,Tuition Fees,900,155,
186,Tuition Fees,750,156,
187,Transport Fees,680,156,
188,Tuition Fees,600,157,
189,Tuition Fees,600,158,
190,Tuition Fees,4250,159,
191,Transport Fees,1320,159,
192,Fine,100,159,
193,Tuition Fees,1500,160,
194,Fine,100,160,
195,Tuition Fees,750,161,
196,Tuition Fees,800,162,
197,Tuition Fees,750,163,
198,Tuition Fees,700,164,
199,Tuition Fees,750,165,
200,Tuition Fees,700,166,
201,Tuition Fees,650,167,
202,Tuition Fees,750,168,
203,Tuition Fees,800,169,
204,Tuition Fees,800,169,2023-01-10 09:34:26 +0530
205,Tuition Fees,650,170,
206,Tuition Fees,600,171,
207,Tuition Fees,800,172,
208,Tuition Fees,700,173,
209,Tuition Fees,700,174,
210,Tuition Fees,800,175,
211,Tuition Fees,870,176,
212,Tuition Fees,750,177,
213,Tuition Fees,750,179,
214,Tuition Fees,750,180,
215,Tuition Fees,750,181,
216,Transport Fees,780,181,
217,Tuition Fees,1400,182,
218,Transport Fees,780,182,
219,Fine,50,182,
220,Tuition Fees,750,183,
221,Tuition Fees,750,184,
222,Transport Fees,780,184,
223,Tuition Fees,750,185,
224,Tuition Fees,700,186,
225,Transport Fees,680,186,
226,Tuition Fees,900,187,
227,Tuition Fees,700,188,
228,Tuition Fees,3500,189,
229,Tuition Fees,800,190,
230,Tuition Fees,600,191,
231,Transport Fees,660,191,
232,Tuition Fees,600,192,
233,Tuition Fees,790,193,
234,Transport Fees,900,193,
235,Tuition Fees,600,194,
236,Transport Fees,900,194,
237,Tuition Fees,790,195,
238,Transport Fees,1200,195,
239,Tuition Fees,750,196,
240,Transport Fees,660,196,
241,Tuition Fees,700,197,
242,Tuition Fees,650,198,
243,Tuition Fees,650,199,
244,Tuition Fees,700,200,
245,Tuition Fees,600,201,
246,Tuition Fees,600,202,
247,Tuition Fees,600,203,
248,Tuition Fees,600,204,
249,Tuition Fees,870,205,
250,Tuition Fees,1600,206,
251,Fine,50,206,
252,Tuition Fees,1500,207,
253,Fine,50,207,
254,Tuition Fees,750,208,
255,Transport Fees,950,208,
256,Tuition Fees,600,209,
257,Tuition Fees,700,210,
258,Transport Fees,780,210,
259,Tuition Fees,800,211,
260,Tuition Fees,800,212,
261,Transport Fees,900,212,
262,Tuition Fees,750,213,
263,Tuition Fees,600,214,
264,Tuition Fees,750,215,
265,Tuition Fees,800,216,
266,Tuition Fees,800,217,
267,Tuition Fees,800,218,
268,Tuition Fees,800,219,
269,Tuition Fees,800,220,
270,Tuition Fees,680,221,
271,Tuition Fees,750,222,
272,Tuition Fees,850,223,
273,Tuition Fees,750,224,
274,Tuition Fees,650,225,
275,Tuition Fees,1400,226,
276,Tuition Fees,1100,227,
277,Fine,50,227,
278,Fine,50,226,
279,Tuition Fees,2100,229,
280,Fine,50,229,
281,Tuition Fees,850,230,
282,Tuition Fees,1800,231,
283,Tuition Fees,1500,232,
284,Tuition Fees,750,233,
285,Tuition Fees,1200,234,
286,Tuition Fees,1200,235,
287,Transport Fees,1560,235,
288,Tuition Fees,750,236,
289,Tuition Fees,650,237,
290,Tuition Fees,700,238,
291,Tuition Fees,870,239,
292,Tuition Fees,700,240,
293,Tuition Fees,850,241,
294,Tuition Fees,650,242,
295,Tuition Fees,600,243,
296,Tuition Fees,700,244,
297,Transport Fees,780,244,
298,Tuition Fees,790,245,
299,Tuition Fees,600,246,
300,Tuition Fees,700,247,
301,Tuition Fees,650,248,
302,Tuition Fees,700,249,
303,Tuition Fees,600,250,
304,Tuition Fees,800,251,
305,Tuition Fees,700,252,
306,Tuition Fees,1600,253,
307,Fine,100,253,
308,Tuition Fees,1400,254,
309,Fine,100,254,
310,Tuition Fees,900,255,
311,Tuition Fees,800,256,
312,Tuition Fees,850,257,
313,Tuition Fees,740,258,
314,Tuition Fees,700,259,
315,Tuition Fees,650,260,
316,Transport Fees,780,260,
317,Tuition Fees,1400,261,
318,Transport Fees,1360,261,
319,Fine,100,261,
320,Tuition Fees,1600,262,
321,Fine,50,262,
322,Tuition Fees,700,263,
323,Tuition Fees,600,264,
324,Tuition Fees,790,265,
325,Tuition Fees,650,266,
326,Tuition Fees,600,267,
327,Tuition Fees,750,268,
328,Tuition Fees,9152,269,2023-01-12 12:55:28 +0530
329,Tuition Fees,870,269,
330,Tuition Fees,800,270,
331,Tuition Fees,600,271,
332,Tuition Fees,1500,272,
333,Fine,50,272,
334,Tuition Fees,900,273,
335,Tuition Fees,900,274,
336,Tuition Fees,2250,275,
337,Fine,100,275,
338,Tuition Fees,2250,276,
339,Fine,100,276,
340,Tuition Fees,1200,277,
341,Fine,50,277,
342,Tuition Fees,600,278,
343,Transport Fees,850,278,
344,Tuition Fees,1500,279,
345,Fine,50,279,
346,Tuition Fees,750,280,
347,Tuition Fees,3000,281,
348,Fine,100,281,
349,Tuition Fees,1400,282,
350,Fine,50,282,
351,Tuition Fees,1950,283,
352,Tuition Fees,750,284,
353,Transport Fees,680,284,
354,Tuition Fees,1500,285,
355,Transport Fees,1320,285,
356,Fine,50,285,
357,Tuition Fees,700,286,
358,Transport Fees,780,286,
359,Tuition Fees,1600,287,
360,Fine,50,287,
361,Tuition Fees,2100,288,
362,Transport Fees,2550,288,
363,Fine,100,288,
364,Tuition Fees,880,289,
365,Tuition Fees,750,290,
366,Tuition Fees,750,291,
367,Tuition Fees,650,292,
368,Tuition Fees,2550,293,
369,Fine,100,293,
370,Tuition Fees,1500,294,
371,Transport Fees,1980,294,
372,Fine,50,294,
373,Tuition Fees,2250,295,
374,Fine,100,295,
375,Tuition Fees,750,296,
376,Tuition Fees,450,297,
377,Transport Fees,850,297,
378,Tuition Fees,1600,298,
379,Tuition Fees,650,300,
380,Tuition Fees,650,299,
381,Tuition Fees,1700,301,
382,Fine,100,301,
383,Tuition Fees,600,302,2023-01-14 12:02:58 +0530
384,Tuition Fees,650,303,
385,Tuition Fees,1950,304,
386,Transport Fees,1700,304,2023-01-14 12:24:31 +0530
387,Transport Fees,2138,304,
388,Fine,100,304,
389,Tuition Fees,600,305,
390,Tuition Fees,750,306,
391,Tuition Fees,2100,307,
392,Fine,100,307,
393,Tuition Fees,2200,308,
394,Fine,150,308,
395,Tuition Fees,1500,309,
396,Fine,50,309,
397,Tuition Fees,1500,310,
398,Fine,50,310,
399,Tuition Fees,700,311,2023-01-14 14:30:21 +0530
400,Tuition Fees,600,311,2023-01-14 14:37:16 +0530
401,Tuition Fees,600,311,
402,Tuition Fees,650,312,
403,Tuition Fees,600,313,
404,Tuition Fees,550,314,
405,Tuition Fees,870,315,
406,Tuition Fees,600,316,
407,Tuition Fees,600,317,
408,Transport Fees,850,317,
409,Tuition Fees,2370,318,
410,Fine,100,318,
411,Tuition Fees,2370,319,
412,Fine,100,319,
413,Tuition Fees,1630,320,
414,Tuition Fees,1500,321,
415,Fine,50,321,
416,Tuition Fees,800,322,
417,Tuition Fees,1000,323,
418,Tuition Fees,750,324,
419,Transport Fees,660,324,
420,Tuition Fees,2100,325,
421,Transport Fees,2250,325,
422,Tuition Fees,1500,326,
423,Tuition Fees,1100,327,
424,Fine,50,327,
425,Fine,50,326,
426,Tuition Fees,700,328,
427,Transport Fees,660,328,
428,Tuition Fees,700,329,
429,Transport Fees,660,329,
430,Tuition Fees,790,330,
431,Transport Fees,660,330,
432,Tuition Fees,1800,331,
433,Fine,100,331,
434,Tuition Fees,1300,332,
435,Fine,50,332,
436,Transport Fees,1200,333,
437,Tuition Fees,1600,335,
438,Tuition Fees,800,336,
439,Tuition Fees,1600,337,
440,Fine,100,337,
